exchange,product,trade_date,check,reason
GFEX,PT,2026-01-08,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-08'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-09,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-09'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-12,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-12'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-13,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-13'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-14,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-14'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-15,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-15'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-16,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-16'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-19,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-19'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-20,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-20'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-21,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-21'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-22,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-22'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-23,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-23'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-26,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-26'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-27,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-27'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-28,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-28'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-29,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-29'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
GFEX,PT,2026-01-30,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'GFEX', 'product': 'PT', 'trade_date': '2026-01-30'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
